Result Time,Granularity Period,Object Name,Reliability,"L.Thrp.bits.DL","L.Thrp.bits.DL.LastTTI","L.Thrp.bits.DL.Max","L.Thrp.bits.DL.QCI.1","L.Thrp.bits.DL.QCI.1.Max","L.Thrp.bits.DL.QCI.2","L.Thrp.bits.DL.QCI.2.Max","L.Thrp.bits.DL.QCI.3","L.Thrp.bits.DL.QCI.3.Max","L.Thrp.bits.DL.QCI.4","L.Thrp.bits.DL.QCI.4.Max","L.Thrp.bits.DL.QCI.5","L.Thrp.bits.DL.QCI.5.Max","L.Thrp.bits.DL.QCI.6","L.Thrp.bits.DL.QCI.65","L.Thrp.bits.DL.QCI.66","L.Thrp.bits.DL.QCI.69","L.Thrp.bits.DL.QCI.6.Max","L.Thrp.bits.DL.QCI.7","L.Thrp.bits.DL.QCI.70","L.Thrp.bits.DL.QCI.7.Max","L.Thrp.bits.DL.QCI.8","L.Thrp.bits.DL.QCI.8.Max","L.Thrp.bits.DL.QCI.9","L.Thrp.bits.DL.QCI.9.Max","L.Thrp.bits.UE.UL.LastTTI","L.Thrp.bits.UL","L.Thrp.bits.UL.Max","L.Thrp.bits.UL.QCI.1","L.Thrp.bits.UL.QCI.1.Max","L.Thrp.bits.UL.QCI.2","L.Thrp.bits.UL.QCI.2.Max","L.Thrp.bits.UL.QCI.3","L.Thrp.bits.UL.QCI.3.Max","L.Thrp.bits.UL.QCI.4","L.Thrp.bits.UL.QCI.4.Max","L.Thrp.bits.UL.QCI.5","L.Thrp.bits.UL.QCI.5.Max","L.Thrp.bits.UL.QCI.6","L.Thrp.bits.UL.QCI.65","L.Thrp.bits.UL.QCI.66","L.Thrp.bits.UL.QCI.69","L.Thrp.bits.UL.QCI.6.Max","L.Thrp.bits.UL.QCI.7","L.Thrp.bits.UL.QCI.70","L.Thrp.bits.UL.QCI.7.Max","L.Thrp.bits.UL.QCI.8","L.Thrp.bits.UL.QCI.8.Max","L.Thrp.bits.UL.QCI.9","L.Thrp.bits.UL.QCI.9.Max","L.Thrp.Time.Cell.DL.HighPrecision","L.Thrp.Time.Cell.UL.HighPrecision","L.Thrp.Time.DL","L.Thrp.Time.DL.QCI.1","L.Thrp.Time.DL.QCI.2","L.Thrp.Time.DL.QCI.3","L.Thrp.Time.DL.QCI.4","L.Thrp.Time.DL.QCI.5","L.Thrp.Time.DL.QCI.6","L.Thrp.Time.DL.QCI.65","L.Thrp.Time.DL.QCI.66","L.Thrp.Time.DL.QCI.69","L.Thrp.Time.DL.QCI.7","L.Thrp.Time.DL.QCI.70","L.Thrp.Time.DL.QCI.8","L.Thrp.Time.DL.QCI.9","L.Thrp.Time.DL.RmvLastTTI","L.Thrp.Time.UE.UL.RmvLastTTI","L.Thrp.Time.UL","L.Thrp.Time.UL.QCI.1","L.Thrp.Time.UL.QCI.2","L.Thrp.Time.UL.QCI.3","L.Thrp.Time.UL.QCI.4","L.Thrp.Time.UL.QCI.5","L.Thrp.Time.UL.QCI.6","L.Thrp.Time.UL.QCI.65","L.Thrp.Time.UL.QCI.66","L.Thrp.Time.UL.QCI.69","L.Thrp.Time.UL.QCI.7","L.Thrp.Time.UL.QCI.70","L.Thrp.Time.UL.QCI.8","L.Thrp.Time.UL.QCI.9"
,Minutes,,,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms
2022-07-22 02:00+09:00,15,"ZZP093_PAB0144_HV_MALASIGIT/Cell:eNodeB Function Name=ZZP093_PAB0144_HV_MALASIGIT, Local Cell ID=12, Cell Name=ZZP093MT1_PAB0144_HV_MALASIGIT_MT01, eNodeB ID=1041093, Cell FDD TDD indication=CELL_FDD",Reliable,458614768,116253488,12147481,0,0,0,0,0,0,0,0,54704,20311,404879320,0,0,0,12147481,109152,0,3847,37558632,1596168,16012960,2288550,12289664,31675120,320478,0,0,0,0,0,0,0,0,51272,18123,11363000,0,0,0,293540,976592,0,12057,17764664,299462,1519592,164566,42096,27737,37168,0,0,0,0,15,24831,0,0,0,155,0,10956,1211,26802,13001,28032,0,0,0,0,36,10463,0,0,0,731,0,15576,1226
2022-07-22 02:00+09:00,15,"ZZP094_PAB0145_HV_KLAGULU/Cell:eNodeB Function Name=ZZP094_PAB0145_HV_KLAGULU, Local Cell ID=22, Cell Name=ZZP094MT1_PAB0145_HV_KLAGULU_MT02, eNodeB ID=1041094, Cell FDD TDD indication=CELL_FDD",Reliable,1738670056,454494776,9404749,0,0,0,0,0,0,0,0,0,0,14276936,0,0,0,383776,118720,0,29716,368611624,7514273,1355662776,9144353,32045448,70909712,458289,0,0,0,0,0,0,0,0,0,0,7932312,0,0,0,209172,0,0,0,30616792,448407,32360608,240365,192402,67641,174304,0,0,0,0,0,3939,0,0,0,41,0,37818,132506,132204,26949,69268,0,0,0,0,0,13538,0,0,0,0,0,26341,29389
2022-07-22 02:00+09:00,15,"ZZP094_PAB0145_HV_KLAGULU/Cell:eNodeB Function Name=ZZP094_PAB0145_HV_KLAGULU, Local Cell ID=12, Cell Name=ZZP094MT1_PAB0145_HV_KLAGULU_MT01, eNodeB ID=1041094, Cell FDD TDD indication=CELL_FDD",Reliable,52600,46152,8080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52600,8080,0,0,29448,56824,14008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56824,14008,0,0,46,121,44,0,0,0,0,0,0,0,0,0,0,0,44,0,2,42,121,0,0,0,0,0,0,0,0,0,0,0,121,0
2022-07-22 02:00+09:00,15,"ZZP096_PAB0147_HV_TANAH_TINGGI/Cell:eNodeB Function Name=ZZP096_PAB0147_HV_TANAH_TINGGI, Local Cell ID=22, Cell Name=ZZP096MT1_PAB0147_HV_TANAH_TINGGI_MT02, eNodeB ID=1041096, Cell FDD TDD indication=CELL_FDD",Reliable,885636480,327720632,6264948,0,0,0,0,0,0,0,0,0,0,139559312,0,0,0,2837301,416,0,425,746076752,4708087,0,0,33478872,83294520,376870,0,0,0,0,0,0,0,0,0,0,15440992,0,0,0,150062,0,0,0,67853528,375417,0,0,91868,71157,78257,0,0,0,0,0,12080,0,0,0,1,0,66176,0,45597,36514,72671,0,0,0,0,0,15307,0,0,0,0,0,57364,0
2022-07-22 02:00+09:00,15,"ZZP096_PAB0147_HV_TANAH_TINGGI/Cell:eNodeB Function Name=ZZP096_PAB0147_HV_TANAH_TINGGI, Local Cell ID=12, Cell Name=ZZP096MT1_PAB0147_HV_TANAH_TINGGI_MT01, eNodeB ID=1041096, Cell FDD TDD indication=CELL_FDD",Reliable,109718048,49306584,6141761,0,0,0,0,0,0,0,0,0,0,274904,0,0,0,39840,0,0,0,109443144,6141761,0,0,782736,3047520,312223,0,0,0,0,0,0,0,0,0,0,118136,0,0,0,27762,0,0,0,2929384,312223,0,0,10325,4174,8046,0,0,0,0,0,144,0,0,0,0,0,7902,0,4636,1403,4174,0,0,0,0,0,118,0,0,0,0,0,4056,0
2022-07-22 02:00+09:00,15,"ZZP311_PAB0831_HV_KLAWANA/Cell:eNodeB Function Name=ZZP311_PAB0831_HV_KLAWANA, Local Cell ID=22, Cell Name=ZZP311MT1_PAB0831_HV_KLAWANA_MT02, eNodeB ID=1041311, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-22 02:00+09:00,15,"ZZP311_PAB0831_HV_KLAWANA/Cell:eNodeB Function Name=ZZP311_PAB0831_HV_KLAWANA, Local Cell ID=12, Cell Name=ZZP311MT1_PAB0831_HV_KLAWANA_MT01, eNodeB ID=1041311, Cell FDD TDD indication=CELL_FDD",Reliable,3671676224,2366706672,7301731,0,0,0,0,0,0,0,0,0,0,3309507976,0,0,0,6876159,154120,0,46273,361999168,2512743,14960,3497,82667992,183981648,682690,0,0,0,0,0,0,0,0,0,0,121763184,0,0,0,612239,54832,0,12506,61970816,508763,192816,26419,345676,183691,301427,0,0,0,0,0,259630,0,0,0,73,0,41702,22,118259,77475,192176,0,0,0,0,0,147023,0,0,0,79,0,44914,160
2022-07-22 02:00+09:00,15,"ZZP114_PAB0173_HV_KLAKAK/Cell:eNodeB Function Name=ZZP114_PAB0173_HV_KLAKAK, Local Cell ID=22, Cell Name=ZZP114MT1_PAB0173_HV_KLAKAK_MT02, eNodeB ID=1041114, Cell FDD TDD indication=CELL_FDD",Reliable,542939160,202576616,5074626,0,0,0,0,0,0,0,0,42664,16031,6217976,0,0,0,265951,9568,0,835,536668952,5072383,0,0,19715288,61537464,407107,0,0,0,0,0,0,0,0,59496,31791,34741240,0,0,0,395236,0,0,0,26736728,166267,0,0,50846,64711,38218,0,0,0,0,11,2847,0,0,0,21,0,35339,0,23797,34456,65635,0,0,0,0,28,25126,0,0,0,0,0,40481,0
2022-07-22 02:00+09:00,15,"ZZP114_PAB0173_HV_KLAKAK/Cell:eNodeB Function Name=ZZP114_PAB0173_HV_KLAKAK, Local Cell ID=12, Cell Name=ZZP114MT1_PAB0173_HV_KLAKAK_MT01, eNodeB ID=1041114, Cell FDD TDD indication=CELL_FDD",Reliable,1643696,779256,246658,0,0,0,0,0,0,0,0,0,0,1643376,0,0,0,246658,0,0,0,320,321,0,0,358032,1154192,273734,0,0,0,0,0,0,0,0,0,0,1154192,0,0,0,273734,0,0,0,0,0,0,0,393,601,346,0,0,0,0,0,345,0,0,0,0,0,1,0,69,293,601,0,0,0,0,0,601,0,0,0,0,0,0,0
2022-07-22 02:00+09:00,15,"ZZP107_PAB0162_HV_DAIS/Cell:eNodeB Function Name=ZZP107_PAB0162_HV_DAIS, Local Cell ID=22, Cell Name=ZZP107MT1_PAB0162_HV_DAIS_MT02, eNodeB ID=1041107, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
